Monarch,Reign from,Reign to,House
Charles lll,2022,2024,Windsor
Elizabeth ll,1952,2022,Windsor
George Vl,1936,1952,Windsor
Edward Vlll,1936,1936,Windsor
George V,1910,1936,Windsor
Edward Vll,1901,1910,Windsor
Victoria ,1837,1901,Hanover
William lV,1830,1837,Hanover
George lV,1820,1830,Hanover
George lll,1760,1820,Hanover
George ll,1727,1760,Hanover
George l,1714,1727,Hanover
Anne,1702,1714,Stuart
William lll & Mary ll,1689,1702,Stuart
James ll,1685,1688,Stuart
Charles ll,1660,1685,Stuart
Richard Cromwell,1658,1659,Protectorate
Oliver Cromwell,1653,1658,Protectorate
Charles l,1625,1649,Stuart
James l,1603,1625,Stuart
Elizabeth l,1558,1603,Tudor
Mary l & Philip,1553,1558,Tudor
Jane,1553,1553,Protectorate
Edward Vl,1547,1553,Tudor
Henry Vlll,1509,1547,Tudor
Henry Vll,1485,1509,Tudor
Richard lll,1483,1485,York
Edward V,1483,1483,York
Edward lV,1471,1483,York
Henry Vl,1470,1471,Lancaster
Edward lV,1461,1470,York
Henry Vl,1422,1461,Lancaster
Henry V,1413,1422,Lancaster
Henry lV,1399,1413,Lancaster
Richard ll,1377,1399,Plantagenet
Edward lll,1327,1377,Plantagenet
Edward ll,1307,1327,Plantagenet
Edward l,1272,1307,Plantagenet
Henry lll,1216,1272,Plantagenet
John,1199,1216,Anjou
Richard l,1189,1199,Anjou
Henry ll,1154,1189,Anjou
Stephen,1135,1154,Protectorate
Henry l,1100,1135,Normandy
William ll,1087,1100,Normandy
William l,1066,1087,Normandy